uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P07895,0.26716950910969217,0.14726510213448482,0.3870739160848995,24.753719514300712,4.619568136114569,1.168100087727085,1.3126385496831832e-4,0.021225816139853127,1,1,0.09180931487575002,0,PHEvPHE_MITO,Sod2,SODM_RAT,"Superoxide dismutase [Mn], mitochondrial"
P07943,0.2155319941852909,0.056127151274934534,0.3749368370956473,28.561637799180446,2.8032373152689285,-2.834137992556678,0.010326946314849279,0.11873517700757329,1,0,0.3732049602184533,0,PHEvPHE_MITO,Akr1b1,ALDR_RAT,Aldo-keto reductase family 1 member B1
P08010,0.09548966289327865,-0.1388039987950124,0.32978332458156967,26.911108832738737,0.8449780946781035,-5.8238700615694485,0.4071715434216219,0.6424401203101231,0,0,0.9177782835500926,0,PHEvPHE_MITO,Gstm2,GSTM2_RAT,Glutathione S-transferase Mu 2
P08050,0.13690921409334678,-0.14984514289285744,0.423663571079551,19.934639107537873,0.9898565978353026,-5.695950696713398,0.33295093645226514,0.5767905674843219,0,0,0.8602198385653569,0,PHEvPHE_MITO,Gja1,CXA1_RAT,Gap junction alpha-1 protein
P08081,-0.10697242111255534,-0.21442642588438227,4.8158365927157554e-4,25.327365737120417,-2.063948465708818,-4.233399725072494,0.050949052764174434,0.22567847703651828,-1,-0,0.7272759393803292,0,PHEvPHE_MITO,Clta,CLCA_RAT,Clathrin light chain A
P08082,-0.17363458985392555,-0.3026461199741157,-0.04462305973373534,25.40404497447248,-2.790341443369041,-2.860411294601554,0.010634148256008629,0.11997116553609734,-1,-0,0.4543257315119066,0,PHEvPHE_MITO,Cltb,CLCB_RAT,Clathrin light chain B
P08430,0.04568302225287724,-0.16918820503284707,0.2605542495386015,19.91836205788814,0.44078437735898496,-6.078506039518154,0.6636476690893318,0.8212210085908553,0,0,0.9814441036676319,0,PHEvPHE_MITO,Ugt1a6,UD16_RAT,UDP-glucuronosyltransferase 1A6
P08460,-0.11867356990204314,-0.3009712997060835,0.06362415990199721,21.487602077872253,-1.3496537839546516,-5.3008096304541485,0.19078103763707613,0.42905646555160876,-0,-0,0.8215207636311733,0,PHEvPHE_MITO,Nid1,NID1_RAT,Nidogen-1 (Fragment)
P08461,0.13973655651144767,-0.0045775294750052264,0.2840506424979006,26.110228083063756,2.0074786901148927,-4.329534422978613,0.05707092048670256,0.23964168251075055,1,0,0.670232830250958,0,PHEvPHE_MITO,Dlat,ODP2_RAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"
P08503,0.1777041468359748,0.036803326365849987,0.3186049673060996,23.428228708048945,2.614771065503292,-3.212424559670748,0.015778735716508667,0.14214191079479316,1,0,0.4783986638476301,0,PHEvPHE_MITO,Acadm,ACADM_RAT,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
P08592,0.00711738296250175,-0.09715104459702203,0.11138581052202554,23.863044839103484,0.141519778557873,-6.165276937471256,0.8887405268658731,0.9475346045499188,0,0,0.9991608572639501,0,PHEvPHE_MITO,App,A4_RAT,Amyloid-beta precursor protein
P08644,0.07086161102858313,-0.2818659511668073,0.42358917322397355,21.699871579909665,0.4165059932233573,-6.088832551059388,0.6810542677488878,0.833285847963634,0,0,0.9731482093188766,0,PHEvPHE_MITO,Kras,RASK_RAT,GTPase KRas
P08649,-0.07903606025799803,-0.2776345326724503,0.11956241215645427,21.461678046940108,-0.8250856048368306,-5.839965917334968,0.41813393627995643,0.6518169632700196,-0,-0,0.9334052998513286,0,PHEvPHE_MITO,C4,CO4_RAT,Complement C4
P08699,0.33420572091586465,0.19068571180789895,0.47772573002383034,23.519618481748257,4.8278198570851565,1.6380626010003052,7.894081620305587e-5,0.01724498012144939,1,1,0.0425456073477958,1,PHEvPHE_MITO,Lgals3,LEG3_RAT,Galectin-3
P08753,0.1524664768439905,-0.04705922839737958,0.3519921820853606,21.305740769024784,1.5842551967700473,-4.988352254425771,0.12733166853220104,0.34504480666478987,0,0,0.7303529889370544,0,PHEvPHE_MITO,Gnai3,GNAI3_RAT,Guanine nucleotide-binding protein G(i) subunit alpha-3
P09215,-0.17375626805403854,-0.3459013505673691,-0.0016111855407079934,20.79360444396774,-2.0926446579153795,-4.183871239910992,0.04806895933738223,0.2186483323971312,-1,-0,0.5901545135082409,0,PHEvPHE_MITO,Prkcd,KPCD_RAT,Protein kinase C delta type
P09216,-0.16999030159509587,-0.32799903433500566,-0.011981568855186059,19.527545710318588,-2.2304509882604853,-3.9399519176374858,0.03617756680449185,0.1987020871045723,-1,-0,0.5687857024940814,0,PHEvPHE_MITO,Prkce,KPCE_RAT,Protein kinase C epsilon type
P09330,-0.15101473799557041,-0.3889803717947072,0.08695089580356635,22.659401563280596,-1.3156934764792472,-5.342597786383447,0.20175324269736186,0.4425153973956749,-0,-0,0.7852675541003795,0,PHEvPHE_MITO,Prps2,PRPS2_RAT,Ribose-phosphate pyrophosphokinase 2
P09456,0.17461477116207647,0.02940288829829671,0.3198266540258562,25.430514911613752,2.4930354414547446,-3.449740574099008,0.02063352371545634,0.15467555631222074,1,0,0.5078080955630414,0,PHEvPHE_MITO,Prkar1a,KAP0_RAT,cAMP-dependent protein kinase type I-alpha regulatory subunit
P09495,-0.16098782001822087,-0.2891811746737297,-0.032794465362711994,29.362069178448873,-2.6036172304198684,-3.2344099423135257,0.016174445248353434,0.14315724468432153,-1,-0,0.5148057024370015,0,PHEvPHE_MITO,Tpm4,TPM4_RAT,Tropomyosin alpha-4 chain
P09527,0.06769162895430014,-0.02830436861702325,0.16368762652562352,26.519827506897695,1.4619464641837638,-5.156334274985139,0.1578207481601892,0.3859982267978979,0,0,0.8825156621624825,0,PHEvPHE_MITO,Rab7a,RAB7A_RAT,Ras-related protein Rab-7a
P09811,0.6052023777148534,-1.443958663436487,2.6543634188661938,20.72084238121954,0.6131469206221947,-5.988650296034925,0.5461797602435178,0.7422308061400219,0,0,0.6934815034837917,0,PHEvPHE_MITO,Pygl,PYGL_RAT,"Glycogen phosphorylase, liver form"
P09812,0.283017894030273,-0.14496064665643438,0.7109964347169804,22.353307863070636,1.371012869701634,-5.274068786979563,0.1841241715420077,0.4205802131325518,0,0,0.6194599140034311,0,PHEvPHE_MITO,Pygm,PYGM_RAT,"Glycogen phosphorylase, muscle form"
P09895,-0.06789443405917339,-0.15799185883153916,0.022202990713192358,27.84722826031249,-1.5623251528623165,-5.019262452391811,0.1324081468726975,0.3533334557857769,-0,-0,0.8717318141571134,0,PHEvPHE_MITO,Rpl5,RL5_RAT,Large ribosomal subunit protein uL18
P0C089,0.07961588597897773,-0.3582171965044592,0.5174489684624146,20.64896931915162,0.3769995127226074,-6.104404901708099,0.7097671006785401,0.850046070447379,0,0,0.9730753198760533,0,PHEvPHE_MITO,Ptpmt1,PTPM1_RAT,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
P0C0A1,-0.15808206963959748,-0.31825318904055133,0.0020890497613563486,22.19487525647645,-2.0461997744205926,-4.263807024201805,0.0528067831978538,0.22896835475445415,-1,-0,0.6281742735590732,0,PHEvPHE_MITO,Vps25,VPS25_RAT,Vacuolar protein-sorting-associated protein 25
P0C0A2,0.01218824729060941,-0.13131432695969608,0.1556908215409149,18.621857393209083,0.1760885816847649,-6.159788999666985,0.8618267636114687,0.9324492179011074,0,0,0.9981892368675503,0,PHEvPHE_MITO,Vps36,VPS36_RAT,Vacuolar protein-sorting-associated protein 36
P0C0R5,0.07088223291922446,-0.2338950577255322,0.37565952356398113,20.617257725715806,0.48217469697992377,-6.059578752304506,0.6344194203656102,0.8009539483706135,0,0,0.9682600264012873,0,PHEvPHE_MITO,Pik3r4,PI3R4_RAT,Phosphoinositide 3-kinase regulatory subunit 4
P0C0S7,-0.29360579641107165,-1.09702100293203,0.5098094101098867,28.00063619700075,-0.7576597350858667,-5.891836660211195,0.45665220109765847,0.6843375361631888,-0,-0,0.7944239815097444,0,PHEvPHE_MITO,H2az1,H2AZ_RAT,Histone H2A.Z
P0C0T0,6.034319965841917e-4,-0.25046209285877113,0.2516689568519395,22.78281532744579,0.004982999954383688,-6.175282587301421,0.9960688324772844,0.9973250509729705,0,0,0.9999976231355588,0,PHEvPHE_MITO,Litaf,LITAF_RAT,Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog
