pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast
REACTOME_SYNDECAN_INTERACTIONS,0.7658643326039387,1,0.06224904294985801,0.2705006795081827,0.8047388033173599,17,Itgb5;Col5a2;Col1a2;Thbs1;Itgb1,Reactome,MITOvPHE_MITO
REACTOME_S_PHASE,0.0019462280496250351,0.06870185015176374,0.45505986738722953,-0.4562638059256669,-1.7507411008582694,59,Mcm4;Mcm3;Mcm6;Rad21;Smc1a;Mcm5;Smc3;Lig1;Pds5b;Cdkn1a;Mcm7;Psmd3;Akt2;Rfc4;Ccnd1;Rfc1;Fen1;Rfc2;Psmd7;Ube2c;Cul1;Cdk2;Cdk4;Psmd12;Psmb3;Psma4;Rpa2;Mcm2,Reactome,MITOvPHE_MITO
REACTOME_TAK1_DEPENDENT_IKK_AND_NF_KAPPA_B_ACTIVATION,0.11368421052631579,0.5606315396113603,0.19189224038483796,0.5376751574600227,1.40790039004445,11,Casp8;Nfkb2;Chuk;App;Ikbkb;Nfkb1,Reactome,MITOvPHE_MITO
REACTOME_TCR_SIGNALING,0.9858906525573192,1,0.040575644789065675,-0.16370035940342031,-0.569032359507353,39,Rela;Plcg1;Psmd3;Psmd7;Cul1;Pak1;Psmd12;Psmb3;Psma4,Reactome,MITOvPHE_MITO
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,0.9661654135338346,1,0.04441811530815725,-0.19037067146833153,-0.5590211242417079,18,Fbn1;Tgfb3;Ltbp2;Tgfb2;Ltbp1,Reactome,MITOvPHE_MITO
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,0.6584070796460177,1,0.05934876803356285,-0.2653505653392887,-0.8729756068343546,29,Cdkn1a;Psmd3;Cdk1;Psmd7;Psmd12;Psmb3;Tubb2a;Psma4;Psmd8;Psma1,Reactome,MITOvPHE_MITO
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,0.9605263157894737,1,0.051740545987316304,0.18928662160236165,0.6236967827191418,26,Nfkb2;Ltbr;Chuk,Reactome,MITOvPHE_MITO
REACTOME_TNF_SIGNALING,0.2753303964757709,0.7307641350071213,0.12098514214525231,0.3902685531443697,1.1407097680215286,16,Sppl2a;Casp8;Optn;Chuk;Rnf31;Ikbkb;Cyld,Reactome,MITOvPHE_MITO
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,0.6270022883295194,0.9969901251365781,0.07436253844225256,0.25099969002273637,0.8846227008731351,35,Casp8;Nfkb2;Optn;Lgmn;Mef2a;Chuk;App;Ikbkb;Nfkb1;Tank;Rps6ka3,Reactome,MITOvPHE_MITO
REACTOME_TP53_REGULATES_METABOLIC_GENES,0.988558352402746,1,0.052375908409799665,0.16281479245350794,0.5738240610148739,35,Lamtor5;Cox7a2l;Cox7c;Ywhaz;Ndufa4;Ago2;Ywhaq,Reactome,MITOvPHE_MITO
