uniprot_id,gene,PC1_loading,PC2_loading,compartment
A0A8I5Y8C6,Nfic,0.00899,-0.02637,Nucleus
A0A8I5Y8F2,Efemp2,-0.00452,0.03112,Other
A0A8I5Y9A4;A0ABK0M5W1,Ndufb3;Ndufb3l2,-0.01503,-0.00779,Other
A0A8I5Y9U2,Cnot2,-0.01473,-0.00579,Other
A0A8I5Y9V4,Cars1,-0.00157,-1.5e-4,Other
A0A8I5YBG5,Ubr2,0.01515,0.01869,Nucleus
A0A8I5YBG7,Plpbp,0.01431,-9.1e-4,Mitochondrion
A0A8I5YBK9,Xirp1,-0.01141,0.011,Cytoskeleton
A0A8I5YBM4,Armh3,-0.00114,0.00354,Nucleus
A0A8I5YBW7,Nol9,0.01002,-0.02655,Nucleus
A0A8I5YBY2,Ttc13,0.00347,-0.02099,Other
A0A8I5YC36,Ranbp2,-0.00523,-0.01208,Nucleus
A0A8I5YC43,Zeb2,-0.00838,-0.01803,Nucleus
A0A8I5YC99,Eps15,-0.00947,-0.01072,Other
A0A8I5ZJ62,Glipr2,0.01395,-0.00859,Other
A0A8I5ZJ67,Nup205,0.01986,0.00301,Nucleus
A0A8I5ZJB6,Tbcd,0.00443,-0.00662,Cytoskeleton
A0A8I5ZKA2,Trip11,-0.01883,-0.00652,Other
A0A8I5ZKA9,Abcd4,0.01039,0.02087,Nucleus
A0A8I5ZKE8,Itgb5,-0.00368,0.01624,Other
A0A8I5ZKH1,Ythdc2,-0.0079,-0.00335,Nucleus
A0A8I5ZKI9,Bicd1,0.01785,-0.00839,Cytoskeleton
A0A8I5ZKK0,Ccpg1,0.00973,-2.4e-4,Other
A0A8I5ZKS5,Sec23b,-0.00511,-0.00906,Nucleus
A0A8I5ZL63,Ankrd13a,0.01382,-0.02143,Nucleus
A0A8I5ZLB6,Eef1akmt2,0.01511,-0.02409,Other
A0A8I5ZLE0,Rfk-ps3,-0.01771,0.01133,Other
A0A8I5ZLJ5,Exoc1,0.01131,-0.00597,Nucleus
A0A8I5ZLK2,Mgst2,0.00642,-0.00329,Nucleus
