contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,Reactome,REACTOME_SMOOTH_MUSCLE_CONTRACTION,Smooth Muscle Contraction,-1.182,0.228,0.385,19,TRUE,Mylk;Sorbs3;Cald1;Tpm4;Tpm1;Pxn;Tpm3
PC1,Reactome,REACTOME_SNRNP_ASSEMBLY,Snrnp Assembly,1.08,0.331,0.514,17,FALSE,Snrpd3;Ncbp2;Nup205;Ncbp1;Nup93
PC1,Reactome,REACTOME_SPHINGOLIPID_METABOLISM,Sphingolipid Metabolism,-0.93,0.54,0.692,11,TRUE,Vapa;Gm2a;Cyb5b;M6pr;Degs1
PC1,Reactome,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Srp Dependent Cotranslational Protein Targeting To Membrane,1.411,0.0741,0.177,27,FALSE,Sec61a1;Rplp0;Rpn1;Sec11a;Rps27l;Spcs3;Rps2;Rpl22;Rps5;Rps10
PC1,Reactome,REACTOME_STRIATED_MUSCLE_CONTRACTION,Striated Muscle Contraction,-1.579,0.0505,0.143,14,TRUE,Tpm4;Tpm1;Tnnc2;Tpm3;Tnnc1;Vim;Tpm2;Dmd
PC1,Reactome,REACTOME_SUMOYLATION,Sumoylation,-1.188,0.214,0.366,36,TRUE,Ikbkg;Dnmt1;Cbx5;Smc1a;Smc3;Npm1;Eif2ak2;Ncor2;Nr3c1;Ube2i;Rae1;Rela;Cetn2;Mta1
PC1,Reactome,REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,Sumoylation Of Chromatin Org. Proteins,0.429,1,1,13,FALSE,Nup205;Nup93;Hdac1;Hdac2;Nup107
PC1,Reactome,REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS,Sumoylation Of DNA Damage Response & Repair Proteins,0.572,0.965,0.99,16,FALSE,Nup205;Rpa1;Pml;Nup93
PC1,Reactome,REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS,Sumoylation Of DNA Replication Proteins,0.745,0.83,0.901,13,FALSE,Nup205;Nup93;Nup107;Nup98;Pom121;Top1;Nup58;Nup153;Pcna;Top2a;Nup50;Rae1;Ube2i
PC1,Reactome,REACTOME_SYNDECAN_INTERACTIONS,Syndecan Interactions,-1.885,0.00246,0.0135,17,FALSE,Col3a1;Col1a1;Col1a2;Col5a2;Col5a1;Sdc1;Itgav;Sdc2
