contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC2,Reactome,REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,Deadenylation Dependent mRNA Decay,0.933,0.564,0.975,22,FALSE,Eif4a3;Parn;Eif4a1;Eif4a2;Lsm2;Lsm7;Exosc9
PC2,Reactome,REACTOME_DEADENYLATION_OF_MRNA,Deadenylation Of mRNA,1.337,0.132,0.624,11,FALSE,Eif4a3;Parn;Eif4a1;Eif4a2
PC2,Reactome,REACTOME_DEATH_RECEPTOR_SIGNALING,Death Receptor Signaling,0.937,0.591,0.984,42,FALSE,Hdac2;Sqstm1;Hdac1;Mapkapk2;Nfkb1;Casp8;Psen1;Sos1
PC2,Reactome,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,Degradation Of Beta Catenin By The Destruction Complex,0.628,0.973,1,31,FALSE,Hdac1;Cul1;Psmd1;Psmc6;Adrm1;Ctnnb1;Psmd12;Psmc4;Tle3;Psmc3;Ctbp1
PC2,Reactome,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,Degradation Of The ECM,0.83,0.737,0.99,33,FALSE,Adam9;Col4a2;Col11a1;Psen1;Col5a1;Bmp1;Ctsl;Col4a1;Adam17;Plg;Lamc1;Cd44;Col15a1;Col3a1;Col5a3;Col1a1;Col5a2
PC2,Reactome,REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,Detoxification Of Reactive Oxygen Species,-1.056,0.391,0.896,17,TRUE,Prdx5;Atox1;Cat;Gsr;Prdx6;Ero1a
PC2,Reactome,REACTOME_DEUBIQUITINATION,Deubiquitination,-1.309,0.11,0.606,51,TRUE,Vcpip1;Pten;Usp15;Usp8;Psmd7;Rad23a;Psma1;Rad23b;Psmd8;Vdac1;Ptrh2;Usp14;Smad3;Psmd14;Psma4;Rhot1;Psmd3;Cdk1;Psmd13;Cyld;Psma7;Ikbkg;Vdac3;Psmb2
PC2,Reactome,REACTOME_DEVELOPMENTAL_CELL_LINEAGES,Developmental Cell Lineages,0.891,0.614,0.984,20,FALSE,Col11a1;Col5a1;Lamc1;Cd44;Col3a1;Col5a3;Col1a1;Col5a2;Fabp5;Vtn;Col1a2;Numb
PC2,Reactome,REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS,Developmental Lineage Of Pancreatic Ductal Cells,1.244,0.188,0.71,12,TRUE,Col11a1;Col5a1;Lamc1;Col3a1;Col5a3;Col1a1;Col5a2;Vtn;Col1a2
PC2,Reactome,REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,Disorders Of Transmembrane Transporters,-0.61,0.981,1,37,TRUE,Nup50;Psmd7;Bsg;Psma1;Psmd8;Nup153;Psmd14;Psma4;Slc16a1;Psmd3
PC2,Reactome,REACTOME_DNA_DAMAGE_BYPASS,DNA Damage Bypass,-0.572,0.958,1,13,TRUE,Rfc2;Rfc3;Pold1
PC2,Reactome,REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE,DNA Damage Telomere Stress Induced Senescence,-1.645,0.0137,0.492,11,TRUE,Rad50;Ccne1;Asf1a;Cdkn1a;Hmga1;Mre11
PC2,Reactome,REACTOME_DNA_REPAIR,DNA Repair,-1.021,0.423,0.922,47,FALSE,Rad50;Rfc2;Apex1;Rfc3;Lig1;Cops5;Rad23a;Msh2;Abl1;Rad23b;Mre11;Pold1;Polr2e
PC2,Reactome,REACTOME_DNA_REPLICATION_PRE_INITIATION,DNA Replication Pre Initiation,0.746,0.896,1,36,FALSE,Pola2;Rpa1;Psmd1;Prim2;Mcm5;Mcm4;Psmc6
PC2,Reactome,REACTOME_DNA_STRAND_ELONGATION,DNA Strand Elongation,-0.896,0.626,0.984,19,FALSE,Mcm3;Rfc2;Mcm2;Rfc3;Lig1;Mcm6;Pold1
PC2,Reactome,REACTOME_DRUG_ADME,Drug Adme,-0.809,0.748,0.99,14,TRUE,Guk1;Bsg
PC2,Reactome,REACTOME_ECM_PROTEOGLYCANS,Ecm Proteoglycans,0.908,0.617,0.984,24,FALSE,Col4a2;Bgn;Itgb5;Col5a1;Col4a1;Lamc1;Tgfb3;Col3a1;Vcan;Col5a3;Col1a1;App;Col5a2
PC2,Reactome,REACTOME_ELASTIC_FIBRE_FORMATION,Elastic Fibre Formation,1.442,0.0707,0.577,16,TRUE,Efemp2;Fbln1;Fbln5;Ltbp2;Itgb5
PC2,Reactome,REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,Ephb Mediated Forward Signaling,-0.961,0.527,0.975,22,FALSE,Pak1;Cdc42;Rock1;Actr2
PC2,Reactome,REACTOME_EPH_EPHRIN_SIGNALING,Eph Ephrin Signaling,-1.02,0.435,0.922,40,FALSE,Nck2;Pak1;Cdc42;Rock1;Sdcbp;Actr2;Ncstn
PC2,Reactome,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,Epigenetic Regulation By Wdr5 Containing Histone Modifying Complexes,-0.921,0.548,0.975,10,TRUE,Plin2;Dr1;Abl1;Ncor2
PC2,Reactome,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,Epigenetic Reg. Gene Expression,1.232,0.164,0.679,31,FALSE,Hdac2;Rbbp7;Ube2i;Elovl5;Hdac1;Polr2k;Mtrex;Med24;Mybbp1a;Cbx5;Mta1;Lpl;Dnmt1;H2ax;Ddx21;Acsl1;Polr2h
PC2,Reactome,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,Estrogen Dependent Gene Expression,-0.684,0.939,1,30,FALSE,Hsp90aa1;Ccnt1;Smc3;Jun;Cxcl12;Runx1;Polr2e
PC2,Reactome,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Eukaryotic Translation Initiation,0.775,0.85,1,32,FALSE,Rps12;Rpl18;Eif5;Rpl14;Eif4a1;Eif4a2
PC2,Reactome,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,ECM Org.,0.735,0.962,1,92,FALSE,Plod1;Efemp2;Adam9;Col4a2;Fbln1;Col11a1;Bgn;Plod3;Pcolce;Sdc2;Fbln5;Prkca;Psen1;Ltbp2;Itgb5
PC2,Reactome,REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,Extra Nuclear Estrogen Signaling,-1.103,0.32,0.856,20,FALSE,Hsp90aa1;Hspb1;Strn;Akt1;Mapk1
PC2,Reactome,REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,Factors Involved In Megakaryocyte Development & Platelet Production,1.345,0.106,0.606,32,TRUE,Hdac2;Hdac1;Rab5a;Mfn2;Kif2a;Prkar2b;Kifap3;Kif1b;Capzb;Cbx5;Kif3b;Tuba3a;Kif13b;Rbsn;Tubb2a;Vps45;Kif4a;Klc1
PC2,Reactome,REACTOME_FATTY_ACID_METABOLISM,FA Metabolism,-1.066,0.328,0.856,51,FALSE,Ppt1;Acadvl;Pla2g4a;Acads;Ptgs2;Crat;Acsl4;Mcee;Eci1;Acly;Cpt2;Lta4h;Hadhb;Dbi;Aldh3a2;Acox1;Gpx4;Mlycd;Acot8;Hadh;Acaa1a;Ndufab1
PC2,Reactome,REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,Fceri Mediated MAPK Activation,-0.871,0.621,0.984,10,FALSE,Pak1;Jun;Mapk1
PC2,Reactome,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,Fcgamma Receptor Fcgr Dependent Phagocytosis,-1.313,0.111,0.606,32,TRUE,Hsp90aa1;Pak1;Cdc42;Wasf2;Nf2;Abi1;Actr2;Mapk1;Abl1;Myo9b;Arpc3;Wipf1
PC2,Reactome,REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,Fc Epsilon Receptor Fceri Signaling,0.846,0.758,0.99,43,FALSE,Cul1;Psmd1;Nfkb1;Cdc34;Sos1;Grb2;Psmc6;Plcg1;Ube2n;Gab2
PC2,Reactome,REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION,Fgfr2 Mutant Receptor Activation,-0.656,0.903,1,10,FALSE,Polr2e;Polr2g;Ncbp1;Polr2a;Ncbp2;Polr2i;Polr2c
PC2,Reactome,REACTOME_FIBRONECTIN_MATRIX_FORMATION,Fibronectin Matrix Formation,1.3,0.156,0.663,11,FALSE,Col4a2;Col5a1;Col4a1;Col3a1;Col5a3;Col1a1;Col5a2
PC2,Reactome,REACTOME_FLT3_SIGNALING,Flt3 Signaling,1.197,0.231,0.762,10,FALSE,Csk;Sos1;Grb2;Gab2;Akt2
PC2,Reactome,REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,Formation Of Incision Complex In Gg Ner,0.894,0.611,0.984,11,TRUE,Ube2i;Rpa1;Ube2n;Ddb1;Rpa2
PC2,Reactome,REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,Formation Of The Dystrophin Glycoprotein Complex DGC,-0.96,0.511,0.975,12,TRUE,Sgcb;Agrn;Sgcd;Sntb1;Actg1;Dmd
PC2,Reactome,REACTOME_FOXO_MEDIATED_TRANSCRIPTION,Foxo Mediated Transcription,1.411,0.0845,0.598,16,TRUE,Ywhaq;Hdac2;Ywhaz;Hdac1
PC2,Reactome,REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,G1 S DNA Damage Checkpoints,-0.976,0.483,0.948,30,FALSE,Ccne1;Psmd7;Cdkn1a;Psma1;Psmd8;Psmd14;Skp1;Mapk14;Psma4;Psmd3;Cdkn1b;Psmd13;Cdk2;Psma7
PC2,Reactome,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,G2 M DNA Damage Checkpoint,0.77,0.828,1,18,FALSE,Ywhaq;Ywhaz;Rpa1
PC2,Reactome,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,Gap Junction Trafficking & Regulation,1.154,0.282,0.816,13,TRUE,Ap2m1;Cltc;Tuba3a;Src;Gja1;Tubb2a;Dab2;Actb;Cltb;Clta
PC2,Reactome,REACTOME_GASTRULATION,Gastrulation,-0.782,0.8,0.999,26,TRUE,Trim33;Psmd7;Psma1;Psmd8;Smad3;Psmd14;Psma4;Psmd3
PC2,Reactome,REACTOME_GENE_SILENCING_BY_RNA,Gene Silencing By RNA,0.675,0.9,1,14,FALSE,Ran;Ago2;Polr2k
PC2,Reactome,REACTOME_GLUCONEOGENESIS,Gluconeogenesis,0.902,0.602,0.984,11,FALSE,Pgam1;Pgam2;Eno2;Pc;Aldoa;Tpi1;Eno3
PC2,Reactome,REACTOME_GLUCOSE_METABOLISM,Glucose Metabolism,0.755,0.881,1,29,FALSE,Rae1;Nup58;Pgam1;Pgam2;Nup93;Eno2;Pc;Aldoa
PC2,Reactome,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Glycosaminoglycan Metabolism,0.87,0.665,0.99,22,FALSE,B4galt7;Bgn;Sdc2;Papss2;Ctsl;Glce
PC2,Reactome,REACTOME_GPER1_SIGNALING,Gper1 Signaling,1.346,0.129,0.624,12,FALSE,Prkar2b;Gnai3;Gng12;Gnb2;Src;Gnas
PC2,Reactome,REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,G Alpha 12 13 Signalling Events,-1.143,0.264,0.794,16,TRUE,Rock1;Arhgef6;Akap13;Abr;Arhgef12;Rhob;Kalrn
PC2,Reactome,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,G Alpha I Signalling Events,-0.742,0.863,1,25,TRUE,Pla2g4a;Cxcl12;Mapk1;Ppp3r1;Prkaca;Hebp1
PC2,Reactome,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,G Alpha Q Signalling Events,1.721,0.016,0.492,21,TRUE,Rps6ka3;Prkce;Prkca;Sos1;Grb2;Dgka;F2;F2r;Gng12;Gna14
PC2,Reactome,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,G Alpha S Signalling Events,1.334,0.136,0.624,13,TRUE,Prkar2b;Gnai3;Gng12;Gnb2;Src;Gnas
PC2,Reactome,REACTOME_HEMOSTASIS,Hemostasis,1.267,0.0725,0.577,133,FALSE,Hdac2;Ptpn1;Ywhaz;Rhog;Cyb5r1;Raf1;Plaur;Hdac1;Rab5a;Mfn2;Csk;Kif2a;Prkar2b;Prkce;Kifap3;Sdc2;Itih3;Anxa5;Prkca;Wdr1;Kif1b;Sos1;Grb2;Dgka;F2;Plcg1;Gnai3;S100a10;F2r;Gng12;Slc7a5;Gna14;Aldoa;Capzb;Cbx5;Bcar1;Gnb2;Atp2a1;Kif3b;Tuba3a;Kif13b;Src;Plg;Rbsn;Gnas;Gpc1;Cd63;Tgfb3;Cd44;Tubb2a;Vps45;Cfl1;Kif4a;Klc1;Prcp;Atp2b4
PC2,Reactome,REACTOME_HOMOLOGY_DIRECTED_REPAIR,Homology Directed Repair,-0.747,0.831,1,21,FALSE,Rad50;Rfc2;Rfc3;Abl1;Mre11;Pold1
PC2,Reactome,REACTOME_HSF1_ACTIVATION,Hsf1 Activation,-1.234,0.205,0.731,12,FALSE,Hsp90aa1;Hspb1;Dnajb1
PC2,Reactome,REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,Hsf1 Dependent Transactivation,-1.447,0.0752,0.577,15,TRUE,Hsp90aa1;Hspb1;Akt1s1;Dnajb1
PC2,Reactome,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,0.834,0.713,0.99,20,TRUE,Dynll2;Dnaja4;Dnaja1;Capzb;Dync1h1;Tuba3a;Dctn4;Tubb2a;Hsp90ab1
PC2,Reactome,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,Lymphoid Cell Interactions,-0.753,0.792,0.999,10,TRUE,Pvr;Icam1;Itga4
PC2,Reactome,REACTOME_INNATE_IMMUNE_SYSTEM,Innate Immune System,-0.895,0.763,0.991,220,FALSE,Timp2;Polr1c;Hsp90aa1;Snap23;Pak1;Cdc42;Wasf2;Dnajc3;Rock1;Sdcbp;Cd47;Nf2;Tbk1;Hsp90b1;Psmd7;Pin1;Stom;Abi1;Actr2;Atox1;Gla;Psma1;Ncstn;Jun;Cap1;Pfkl;Mapk1;Abl1;Huwe1;Ppp3r1;Casp3;Cat;Prkaca;Vamp8;Tkfc;Srp14;Mre11;Itgav;Pkp1;Psmd8;Acly;Pgm1;Cct2;Pgm2;Prdx6;Slc2a3;Polr2e;Rab14;Myo9b;Lta4h;Ckap4;Lgals3;Arpc3;Usp14;Psmd14;Apaf1;Ilf2;Wipf1
PC2,Reactome,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,Integration Of Energy Metabolism,1.315,0.112,0.606,21,TRUE,Tkt;Prkar2b;Prkca;Adipor1;Gng12;Gna14;Gnb2;Acsl3;Gnas;Fasn;Acaca
PC2,Reactome,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,Integrin Cell Surface Interactions,-1.098,0.323,0.856,27,FALSE,Cd47;Bsg;Jam3;Itga7;Itga3;Itgav;Icam1;Tnc;Agrn;Itga4
PC2,Reactome,REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,Interactions Of Rev With Host Cellular Proteins,1.332,0.136,0.624,14,FALSE,Rae1;Nup58;Ran;Npm1
PC2,Reactome,REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,Interconversion Of Nucleotide Di & Triphosphates,0.654,0.925,1,13,FALSE,Nme1;Rrm1;Ctps1
PC2,Reactome,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,Interferon Alpha Beta Signaling,0.85,0.659,0.99,11,TRUE,Ptpn1;Samhd1;Gbp2;Abce1
PC2,Reactome,REACTOME_INTERFERON_GAMMA_SIGNALING,Interferon Gamma Signaling,0.884,0.646,0.99,16,TRUE,Ptpn1;Raf1
PC2,Reactome,REACTOME_INTERFERON_SIGNALING,Interferon Signaling,0.814,0.843,1,73,FALSE,Ptpn1;Raf1;Ube2i;Rae1;Eif4a3;Nup58;Npm1;Samhd1;Eif4a1;Fnta;Plcg1;Eif4a2;Ube2n;Nup93
PC2,Reactome,REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,Interleukin 12 Family Signaling,0.665,0.938,1,24,TRUE,Canx;Cnn2;Msn;Hnrnpa2b1;Lcp1;Tcp1
PC2,Reactome,REACTOME_INTERLEUKIN_17_SIGNALING,Interleukin 17 Signaling,1.309,0.132,0.624,19,TRUE,Rps6ka3;Cul1;Mapkapk2;Nfkb1;Map2k3;Ube2n
PC2,Reactome,REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,Interleukin 1 Family Signaling,0.811,0.802,0.999,45,TRUE,Irak4;Sqstm1;Cul1;Psmd1;Nfkb1;Casp8;Psmc6
PC2,Reactome,REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,Interleukin 4 & Interleukin 13 Signaling,-1.242,0.179,0.709,20,TRUE,Hsp90aa1;Hsp90b1;Akt1;Ptgs2;Cdkn1a;Icam1;Jak1;Vim;Stat1
PC2,Reactome,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,Intracell. Signaling By Second Messengers,1.048,0.374,0.888,67,FALSE,Hdac2;Rbbp7;Rhog;Irak4;Hdac1;Prkar2b;Prkce;Psmd1;Ago2;Csnk2b;Prkca;Grb2;Psmc6;Plcg1;Tsc2;Gab2;Akt2;Lamtor5
PC2,Reactome,REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,Intra Golgi & Retrograde Golgi To Er Traffic,1.696,0.00666,0.392,54,TRUE,Copb2;Arcn1;Pafah1b1;Dynll2;Kif2a;Kifap3;Copa;Kif1b;Galnt1;Gosr2;M6pr;Cyth2;Capzb;Dync1h1;Gbf1;Arfip2;Kif3b;Tuba3a;Rabepk;Napa;Kif13b;Cog2;Dctn4;Rab3gap1;Vamp3;Rhobtb3;Tubb2a;Vps45;Igf2r;Kif4a;Klc1
PC2,Reactome,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,Intrinsic Pathway For Apoptosis,-0.929,0.565,0.975,24,FALSE,Xiap;Akt1;Mapk1;Ppp3r1;Casp3;Ywhah;Bax;Ywhag;Casp7;Bid;Apaf1;C1qbp
PC2,Reactome,REACTOME_ION_CHANNEL_TRANSPORT,Ion Channel Transport,0.901,0.626,0.984,26,TRUE,Raf1;Atp6v0a1;Nedd4l;Atp6v0c;Atp6v0d1;Clic2;Tcirg1;Atp6v1g1;Atp2a1
PC2,Reactome,REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,Ion Transport By P Type Atpases,-1.09,0.327,0.856,10,FALSE,Atp1a1;Atp1b1;Atp2b1
PC2,Reactome,REACTOME_IRON_UPTAKE_AND_TRANSPORT,Iron Uptake & Transport,1.404,0.0812,0.597,18,FALSE,Steap3;Atp6v0a1;Cul1;Atp6v0c;Atp6v0d1;Tcirg1;Atp6v1g1;Hmox2;Hmox1
PC2,Reactome,REACTOME_KINESINS,Kinesins,1.505,0.0566,0.558,12,FALSE,Kif2a;Kifap3;Kif1b;Kif3b;Tuba3a;Kif13b;Tubb2a;Kif4a;Klc1
PC2,Reactome,REACTOME_L1CAM_INTERACTIONS,L1cam Interactions,-0.989,0.47,0.937,38,FALSE,Sptbn1;Dpysl2;Pak1;Sdcbp;Ezr;Csnk2a2;Mapk1;Itgav;Nrp2;Ncam1;Dlg1
PC2,Reactome,REACTOME_MAPK6_MAPK4_SIGNALING,MAPK6 MAPK4 Signaling,-1.218,0.188,0.71,36,TRUE,Hspb1;Pak1;Cdc42;Dnajb1;Psmd7;Psma1;Jun;Prkaca;Psmd8;Psmd14;Psma4;Psmd3;Kalrn;Cdk1
PC2,Reactome,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,MAPK Family Signaling Cascades,-0.846,0.781,0.999,71,FALSE,Sptbn1;Ppp2r5b;Hspb1;Pak1;Cdc42;Dnajb1;Psmd7;Psma1;Jun;Mapk1;Prkaca;Psmd8;Ncam1;Dlg1;Psmd14;Jak1;Cul3;Psma4;Psmd3;Kalrn
PC2,Reactome,REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,Maternal To Zygotic Transition Mzt,0.936,0.554,0.975,14,FALSE,Eif4a3;Ago2;Eif4a1;Eif4a2
PC2,Reactome,REACTOME_MEIOTIC_SYNAPSIS,Meiotic Synapsis,0.926,0.558,0.975,10,TRUE,Ube2i;Sun2;Smc1a;H2ax;Rad21
PC2,Reactome,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,Metabolism Of AAs & Derivatives,1.005,0.446,0.922,97,FALSE,Rps12;Bckdha;Hsd17b10;Rpl18;Dars1;Ckm;Gcdh;Asns;Eef1e1;Sqor;Psmd1;Rpl14;Bckdhb;Ogdh;Mccc2;Aldh18a1;Phgdh;Papss2;Psmc6
PC2,Reactome,REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,Metabolism Of Carbohydrates & Carbohydrate Derivatives,1,0.445,0.922,75,FALSE,Tkt;Pygm;Rae1;Galk1;B4galt7;Nup58;Bgn;Gys1;Sdc2;Pgam1;Papss2;Pgam2;Ugp2;Nup93;Eno2;Ctsl;Glce;Pc;Aldoa
PC2,Reactome,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,Metabolism Of Fat Soluble Vitamins,1.152,0.269,0.798,10,FALSE,Retsat;Lrp1;Sdc2;Ldlr;Lpl;Gpc1
PC2,Reactome,REACTOME_METABOLISM_OF_LIPIDS,Metabolism Of Lipids,-0.973,0.517,0.975,128,FALSE,Acat1;Ppt1;Acadvl;Pten;Plin2;Pitpnb;Ahr;Pla2g4a;Acads;Ptgs2;Hsd17b7;Crat;Gla;Agpat4;Csnk2a2;Bdh2;Acsl4;Mcee;Prkaca;Ncor2;Eci1;Acly;Cpt2;Synj1;Rab4a;Fabp3;Gde1;Pikfyve;Rab14;Lta4h;Hadhb;B4galt5;Dbi;Kpnb1;Aldh3a2;Acat2;Lbr;Acox1;Gpat4;Synj2;Inppl1;Pcyt2;Gpx4;Cyb5b;Mlycd;Acot8
PC2,Reactome,REACTOME_METABOLISM_OF_NUCLEOTIDES,Metabolism Of Nucleotides,0.797,0.802,0.999,33,FALSE,Gmpr2;Nme1;Rrm1;Samhd1;Ctps1;Cad;Gmps;Uck2;Gart
PC2,Reactome,REACTOME_METABOLISM_OF_PORPHYRINS,Metabolism Of Porphyrins,0.861,0.653,0.99,11,FALSE,Urod;Hmox2;Blvrb;Hmox1;Hmbs
PC2,Reactome,REACTOME_METABOLISM_OF_RNA,Metabolism Of RNA,1.192,0.119,0.624,165,FALSE,Rps12;Snrpa;Hsd17b10;Ywhaz;Rpl18;Snrpd1;Srsf1;Rae1;Eif4a3;Parn;Nup58;Prmt5;Mapkapk2;Hnrnpa3;Snrpd2;Psmd1;Ran;Fus;Hnrnpa1;Rpl14;Rbm5;Alyref;Dhx15;Prkca;Ddx39a;Eif4a1;Psmc6;Polr2k;Hnrnpa2b1;Snrpb2;Supt5h;Srsf3;Eif4a2;Nup93;Mtrex;Lsm2;Srsf6;Lsm7;Hnrnpr;Sf3b3;Tbrg4;Tra2b
PC2,Reactome,REACTOME_METABOLISM_OF_STEROIDS,Metabolism Of Steroids,1.149,0.228,0.762,31,FALSE,Ube2i;Sp1;Ran;Dhcr7;Hmgcs1;Lgmn;Sar1b;Idi1;Scp2;Fasn;Nfyc;Acaca;Mvk;Pmvk
PC2,Reactome,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Metabolism Of Vitamins & Cofactors,0.962,0.517,0.975,36,TRUE,Retsat;Idh1;Coq9;Lrp1;Mthfd1;Cyb5r3;Sdc2;Mccc2;Enpp1;Ldlr;Mthfd2;Pc;Mtrr
PC2,Reactome,REACTOME_MET_ACTIVATES_PTK2_SIGNALING,Met Activates PTK2 Signaling,1.01,0.442,0.922,13,FALSE,Col11a1;Col5a1;Src;Lamc1;Col3a1;Col5a3;Col1a1;Col5a2
PC2,Reactome,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Mhc Class Ii Antigen Presentation,1.83,0.00464,0.392,28,TRUE,Dynll2;Kif2a;Ap2m1;Kifap3;Cltc;Canx;Ap2s1;Ctsl;Capzb;Dync1h1;Lgmn;Sar1b;Kif3b;Tuba3a;Dctn4;Tubb2a;Kif4a;Klc1
PC2,Reactome,REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,Mitf M Regulated Melanocyte Development,1.283,0.104,0.606,44,FALSE,Ywhaz;Mark3;Ube2i;Atp6v0a1;Dars1;Hdac1;Eef1e1;Ago2;Mcm5;Atp6v0c;Atp6v0d1
PC2,Reactome,REACTOME_MITOCHONDRIAL_BIOGENESIS,Mito. Biogenesis,-0.686,0.914,1,24,FALSE,Atp5f1a;Atp5f1b;Immt;Glud1;Atp5f1d;Mapk14;Idh2;Atp5mf;Atp5me;Atp5po
PC2,Reactome,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,Mito. FA Beta Oxidation,-1.272,0.163,0.679,15,TRUE,Acadvl;Acads;Mcee;Eci1;Hadhb;Dbi
PC2,Reactome,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,Mito. Protein Degradation,-1.497,0.0173,0.492,57,TRUE,Acat1;Atp5f1a;Cox5a;Dld;Atp5f1b;Opa1;Cox4i1;Ndufv1;Aco2;Ndufs1;Lonp1;Mdh2;Prkaca;Me2;Eci1;Glud1;Uqcrc2;Ndufa2;Htra2;Shmt2;Timm10;Idh2
PC2,Reactome,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,Mito. Protein Import,-0.785,0.8,0.999,27,TRUE,Atp5f1a;Atp5f1b;Timm13;Aco2
PC2,Reactome,REACTOME_MITOCHONDRIAL_TRANSLATION,Mito. Translation,-0.787,0.791,0.999,14,FALSE,Tufm;Ptcd3;Mrpl23;Mrps18b;Mrps22;Dap3;Ndufab1
PC2,Reactome,REACTOME_MITOPHAGY,Mitophagy,1.184,0.23,0.762,16,TRUE,Sqstm1;Tomm22;Mfn2;Csnk2b
PC2,Reactome,REACTOME_MITOTIC_G2_G2_M_PHASES,Mitotic G2 M Phases,-0.801,0.831,1,52,FALSE,Hsp90aa1;Psmd7;Cdkn1a;Psma1;Tubg1;Ckap5;Prkaca;Psmd8;Clasp1;Ywhag;Psmd14;Pcm1;Tubgcp3;Skp1;Psma4;Psmd3;Tubgcp2;Cdk1;Ywhae;Psmd13;Cdk2;Dctn1
PC2,Reactome,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,Mitotic Metaphase & Anaphase,1.03,0.396,0.896,64,FALSE,Ube2i;Pafah1b1;Dynll2;Nup58;Kif2a;Mapre1;Psmd1;Ran;Banf1;Pds5b;Psmc6;Nup93;Dync1h1;Slc25a3;Tuba3a;Adrm1;Smc1a;Psmd12;Psmc4;Psmc3;Tubb2a;Xpo1
