gene,localization
Pola1,Other
Pola2,Nuclear
Pik3cb,Other
Kpna2,Other
S100a6,Other
Xpo1,Other
Ajuba,Other
Lyst,Other
Prkd1,Other
Tfpt,Nuclear
Elf1,Nuclear
Ddx52,Nuclear
Cdc5l,Nuclear
Smad9,Other
Gata3,Nuclear
Nbn,Nuclear
Ciita,Nuclear
Twist1,Nuclear
Psmb7,Other
Abcf1,Other
Klf15,Nuclear
Lbr,Nuclear
Sfrp4,Nuclear
Rfc1,Nuclear
Pip4k2b,Nuclear
Picalm,Nuclear
Sh2b1,Other
Bud31,Nuclear
Prmt3,Other
Nap1l1,Nuclear
Rpe65,Nuclear
Ddx39a,Nuclear
Cxadr,Nuclear
Cabin1,Nuclear
Zfp423,Nuclear
Psmb1,Nuclear
Cdk4,Other
Rps27,Other
Nudt4,Other
Bag6,Other
Hemgn,Nuclear
Nat8f3,Nuclear
Hspb8,Other
Csnk1a1,Other
Nup88,Nuclear
Prrx2,Nuclear
Snurf,Nuclear
Maged2,Other
Magi2,Nuclear
Pom121,Nuclear
Pitx1,Nuclear
Nr2f2,Nuclear
Hmgn3,Nuclear
Ppp1r14a,Nuclear
Epm2a,Other
Ebna1bp2,Nuclear
Ctnnd2,Nuclear
Megf8,Nuclear
Fstl3,Nuclear
Banf1,Other
Inpp5e,Nuclear
Egr2,Nuclear
Ltc4s,Nuclear
Nkx2-5,Nuclear
Flt4,Other
Ccnl1,Nuclear
P3h1,Nuclear
Crcp,Nuclear
Skil,Nuclear
Spata2,Nuclear
Chek2,Nuclear
Rax,Nuclear
Dffa,Other
Slfn4,Other
Gtpbp4,Nuclear
Cdk6,Other
Dmtf1,Nuclear
Rbm3,Nuclear
Dag1,Other
Cited2,Nuclear
Cited4,Nuclear
Ccna2,Other
Map2k6,Other
Dmrt1,Nuclear
Hdgf,Nuclear
Gbx2,Nuclear
Lmx1b,Nuclear
Pax3,Nuclear
Pou4f1,Nuclear
Msx3,Nuclear
Klf4,Nuclear
Fbp2,Other
Mapk7,Other
Mllt3,Nuclear
Aatf,Nuclear
Nfil3,Nuclear
Strn3,Nuclear
Tdg,Nuclear
Stag3,Nuclear
Ubqln1,Other
Aurkb,Nuclear
Ddx39b,Nuclear
Slc5a5,Nuclear
Six1,Nuclear
Zyx,Nuclear
Hmgn2,Nuclear
Rgs14,Nuclear
Wbp4,Nuclear
Ptpre,Nuclear
Ccnc,Nuclear
Klf3,Nuclear
Gsto1,Other
Cdkn1a,Other
Dusp1,Nuclear
Shc3,Other
Eif2ak4,Other
Pkia,Nuclear
Zfp37,Nuclear
Tjp2,Nuclear
Usp2,Other
Dnajc2,Other
Ipo13,Nuclear
Ncoa6,Nuclear
Rfc2,Nuclear
Stx1a,Nuclear
Ift172,Nuclear
Wnk1,Other
Txn1,Other
Sec14l2,Other
Snai1,Nuclear
Nherf2,Nuclear
Ebf1,Nuclear
Pou2f3,Nuclear
Pou6f1,Nuclear
Csnk2a1,Other
Nup107,Nuclear
Foxj1,Nuclear
Npr2,Nuclear
Blvra,Other
Akap8,Nuclear
Eif4ebp1,Other
Cux1,Nuclear
Vcp,Other
Plaa,Other
Tpt1,Other
Phox2a,Nuclear
Srp54a,Other
E2f5,Nuclear
Hnrnpm,Nuclear
Cplx2,Other
Ptprn,Nuclear
Rere,Nuclear
Myt1l,Nuclear
Cdk5r1,Nuclear
Jdp2,Nuclear
Cgrrf1,Nuclear
Lmnb1,Nuclear
Dnase1l3,Nuclear
Ptpn6,Nuclear
Pabpn1,Nuclear
Trim28,Nuclear
Pik3c2g,Nuclear
Psmd10,Other
Pip4k2a,Other
Ube2n,Other
Il16,Other
Polr2g,Nuclear
Kcnh2,Nuclear
Nup155,Nuclear
Apbb3,Other
Bin1,Other
Mmp12,Nuclear
Ptf1a,Nuclear
Gps1,Other
Rpl6,Other
Rragb,Nuclear
Rraga,Nuclear
Eif4e,Other
Rab28,Nuclear
Rps15a,Other
H3f3b,Nuclear
Pou2f2,Nuclear
Calb2,Other
Ubr5,Other
Ptpn2,Other
Adarb2,Nuclear
Bex3,Other
Bhlhe41,Nuclear
Zbtb7a,Nuclear
Hivep1,Other
Cand1,Other
Rgcc,Nuclear
Neu3,Nuclear
Barhl1,Nuclear
Pop5,Nuclear
Tenm2,Nuclear
Ptpn12,Other
Tra2b,Nuclear
Psmc4,Other
Psmc1,Other
Khdrbs1,Nuclear
Rps6ka2,Nuclear
Rhoa,Other
Nr0b2,Nuclear
Pfkfb3,Other
Epn1,Other
Ebp,Nuclear
Cflar,Other
Hnrnpu,Other
Ppp2r1a,Other
Hnrnpk,Nuclear
Csrp3,Other
Septin2,Nuclear
Keap1,Other
Scaper,Nuclear
Ccnf,Other
Tbp,Nuclear
Chd4,Nuclear
Nsmf,Nuclear
Plscr1,Other
Smu1,Nuclear
Ptpn23,Other
Uba3,Nuclear
Mylk2,Nuclear
Klf9,Nuclear
Sf1,Nuclear
Rps25,Other
Rps23,Other
Lhx5,Nuclear
Pcyt1a,Other
Chek1,Nuclear
Ryk,Nuclear
Sox9,Nuclear
Sox5,Nuclear
Gli3,Other
Gli1,Other
Siah2,Other
Nploc4,Other
Rps16,Other
Faf1,Other
Rcan2,Nuclear
Plcd4,Other
Fabp5,Other
Arhgef5,Other
Cdk5,Other
Txnl1,Other
Daxx,Other
Hnrnph1,Nuclear
Elp1,Other
Psmc3ip,Nuclear
Trim63,Nuclear
Siah1,Other
Oga,Other
Skap2,Other
Anxa7,Other
Hey2,Nuclear
Hey1,Nuclear
Runx3,Other
Lef1,Nuclear
Psmd9,Other
Hspb2,Nuclear
Rps13,Other
Cygb,Other
Fgf22,Nuclear
Fgf12,Nuclear
Fgf11,Nuclear
Pnma1,Nuclear
Samsn1,Other
Lhx3,Nuclear
Palm,Nuclear
Anp32b,Other
Prdm4,Other
Snrk,Nuclear
Tob1,Nuclear
Khdrbs2,Nuclear
Taf2,Nuclear
Ndel1,Nuclear
Zfp111,Nuclear
Cetn3,Nuclear
Sphk1,Nuclear
Rbm14,Other
Zfp347,Nuclear
Stk17b,Nuclear
Tesk2,Nuclear
Erg,Other
Mtdh,Nuclear
A1cf,Nuclear
Nap1l3,Nuclear
Ep300,Other
Ilk,Other
Clcc1,Nuclear
Syf2,Nuclear
Dkc1,Nuclear
Zfp483,Nuclear
Ythdc1,Nuclear
Zfp384,Nuclear
Fbxo32,Other
Tcf3,Other
Dnph1,Other
Folr1,Nuclear
Cabp1,Nuclear
Pank4,Other
Zng1a,Nuclear
Gtf3c1,Nuclear
Pou2f1,Nuclear
Hdgfl2,Nuclear
Mlxipl,Other
Giot1,Nuclear
Zbp1,Other
G3bp1,Other
Adap1,Other
Cdc25a,Nuclear
Cdc25b,Nuclear
Dusp5,Nuclear
Blcap,Nuclear
Ndrg2,Other
Jmjd1c,Nuclear
Mms19,Nuclear
Gchfr,Other
Khsrp,Nuclear
Camk2g,Other
Cdk7,Other
Taf9b,Nuclear
Zhx1,Nuclear
Hopx,Nuclear
Gbp2,Other
Kif6,Nuclear
Foxd1,Nuclear
Foxe3,Nuclear
Kif11,Other
Clk3,Nuclear
Pabpc1,Other
Pou4f2,Nuclear
Foxc2,Nuclear
Vsx2,Nuclear
Eef1a1,Other
Snrpb,Other
Ppp4c,Other
Smarca4,Nuclear
Nlrp6,Other
Gprasp1,Other
Tmem176b,Nuclear
Dnttip1,Nuclear
Abtb2,Nuclear
Nacc1,Other
Nsa2,Nuclear
Ipmk,Nuclear
Map3k2,Other
Sgk2,Nuclear
Stau2,Other
Rnf38,Nuclear
Camk1,Other
Akr1c3,Other
Polk,Nuclear
Kif2c,Nuclear
Prpf18,Nuclear
Nav2,Nuclear
Stambp,Other
Nme7,Other
Bub1b,Other
Ahnak,Other
Pou3f3,Nuclear
Pou3f1,Nuclear
Polr2m,Nuclear
Hip1,Nuclear
Nip7,Nuclear
Spdya,Nuclear
Dnajc21,Other
Prom2,Nuclear
Kat5,Nuclear
Cand2,Other
Ptgr1,Other
Eif2b5,Other
Hspb6,Other
Phf5a,Nuclear
Myo16,Nuclear
Sub1,Nuclear
Foxe1,Nuclear
Stip1,Nuclear
Cdk12,Nuclear
Ss18l1,Other
Unc50,Nuclear
Zc3h14,Nuclear
Wbp2,Other
H1f4,Nuclear
Bod1l1,Nuclear
Pkn2,Nuclear
Magi3,Nuclear
Cst11,Nuclear
Nup58,Nuclear
Scaf4,Nuclear
Scaf8,Nuclear
Ddx46,Nuclear
Commd5,Other
Setd4,Other
Xab2,Nuclear
Lmo1,Nuclear
Nr2f6,Nuclear
Rpl15,Other
Nifk,Nuclear
Calcoco1,Other
Cdkn1c,Nuclear
Foxi2,Nuclear
Tubb3,Nuclear
Nradd,Nuclear
Gbx1,Nuclear
Dus1l,Nuclear
Prpf19,Nuclear
Ripk3,Other
Ppp2r2d,Other
Zfp382,Nuclear
Oas1b,Other
Fev,Nuclear
Trib3,Nuclear
Zfp180,Nuclear
Zfp91,Nuclear
Atrx,Nuclear
Optn,Other
Lrrc15,Nuclear
Myocd,Nuclear
Retsat,Nuclear
Gtf3a,Nuclear
Serbp1,Other
Cep350,Nuclear
Tor1aip1,Nuclear
Prim1,Nuclear
Uhmk1,Nuclear
Tp63,Nuclear
Tradd,Nuclear
Mafk,Nuclear
Cby1,Nuclear
Gtf2ird1,Nuclear
Vps4a,Other
Zc3hav1,Other
Sfpq,Nuclear
Tcf21,Nuclear
Zfp394,Nuclear
Cdk11b,Other
Drgx,Nuclear
Hoxc6,Nuclear
Foxd4,Nuclear
LOC252890,Nuclear
Sra1,Other
Mxd3,Nuclear
Nr1d1,Nuclear
Spag5,Other
Tubg1,Nuclear
Nr2c1,Nuclear
Hdgfl3,Other
Tank,Other
Socs1,Nuclear
Lhx1,Nuclear
Zwint,Other
Cenpf,Nuclear
Casc3,Nuclear
Dclre1c,Nuclear
Npb,Nuclear
Ppm1g,Nuclear
Nr1d2,Nuclear
Zfp335,Nuclear
Aptx,Nuclear
Msi1,Nuclear
Homez,Nuclear
Aurka,Nuclear
Cops2,Nuclear
Csdc2,Nuclear
Aldh1a3,Other
Alox15b,Other
Dcps,Other
Tor1a,Nuclear
Fadd,Other
Rbm45,Nuclear
Riox2,Other
St18,Nuclear
Gzma,Nuclear
Pkig,Nuclear
Rnf40,Nuclear
Mnat1,Nuclear
Zscan12,Nuclear
Npc1,Nuclear
Npas4,Other
Prop1,Nuclear
Hspa4,Other
Rcan1,Nuclear
Gpr3,Nuclear
Zfp709,Nuclear
Zfp597,Nuclear
Serpinb10,Other
Eaf2,Nuclear
Zscan26,Nuclear
Has3,Nuclear
Prrx1,Nuclear
Sars1,Other
Txndc9,Other
Arid1b,Nuclear
Mrfap1,Nuclear
Mbnl1,Other
Zbtb14,Nuclear
Wrnip1,Nuclear
Fibp,Nuclear
Atf5,Other
Sorbs3,Nuclear
Rnf34,Other
Vcpip1,Other
Dpy30,Nuclear
Hsbp1,Other
Phax,Nuclear
Mx2,Nuclear
Abi2,Other
Skap1,Other
Zfp455,Nuclear
Pnrc1,Nuclear
Tox4,Nuclear
Zfp689,Nuclear
Mapk15,Nuclear
Nubp1,Other
Mettl22,Nuclear
Rogdi,Nuclear
Nmral1,Nuclear
Zfp263,Other
Zfp213,Nuclear
Hcfc1r1,Nuclear
Pkmyt1,Nuclear
Kctd5,Other
Rnps1,Nuclear
Tbl3,Nuclear
Nubp2,Other
Cramp1,Nuclear
Chtf18,Nuclear
Hbz,Other
Snrnp25,Nuclear
Ergic1,Nuclear
Foxi1,Nuclear
Rars1,Other
Cnot6,Other
Clk4,Nuclear
Nhp2,Nuclear
Skp1,Other
Jmjd4,Nuclear
Zfp496,Nuclear
Cops3,Other
Flii,Nuclear
Mfap1al1,Nuclear
Rpl26,Other
Rangrf,Other
Per1,Other
Hes7,Nuclear
Naa38,Nuclear
Wrap53,Other
Fxr2,Other
Eif4a1,Nuclear
Zbtb4,Nuclear
Eif5a,Other
Elp5,Other
Ctdnep1,Nuclear
Bacc1,Nuclear
Med11,Nuclear
Zmynd15,Nuclear
Camta2,Nuclear
Rpain,Nuclear
Dhx33,Other
Foxn1,Nuclear
Med31,Nuclear
Mnt,Nuclear
Smg6,Other
Dph1,Other
Rpa1,Nuclear
Smyd4,Nuclear
Prpf8,Nuclear
Inpp5k,Other
Tnfaip1,Nuclear
Taf15,Nuclear
Ppm1d,Other
Tubd1,Nuclear
Dhx40,Nuclear
Supt4h1,Nuclear
Vezf1,Nuclear
Eme1,Nuclear
Dlx3,Nuclear
Spop,Nuclear
Snf8,Other
Hoxb9,Nuclear
Socs7,Nuclear
Pcgf2,Nuclear
Psmd3,Other
Krt14,Nuclear
Eif1,Nuclear
Ifi35,Other
Rdm1,Other
Dhx8,Nuclear
Atxn7l3,Nuclear
Eftud2,Other
Ddx5,Nuclear
Smndc1,Nuclear
Slc39a11,Nuclear
Cpsf4l,Nuclear
Ush1g,Other
Jpt1,Other
Nup85,Other
Recql5,Other
Rbfox3,Nuclear
Chmp6,Nuclear
Elob-ps4,Nuclear
Mettl23,Nuclear
Pkp2,Nuclear
Ube2v2,Nuclear
Top3b,Nuclear
Ppm1f,Other
Hic2,Nuclear
Crkl,Other
Thap7,Nuclear
Dgcr8,Nuclear
Cdc45,Other
Psmd2,Nuclear
Eif4g1,Other
Rfc4,Nuclear
Lpp,Other
Lsg1,Other
Fbxo45,Other
Zdhhc19,Nuclear
Umps,Nuclear
Kpna1,Other
Hcls1,Other
Zbtb20,Nuclear
Naa50,Other
Hoxd1,Nuclear
Hoxd3,Nuclear
Hoxd4,Nuclear
Hoxd13,Nuclear
Evx2,Nuclear
Pcnp,Nuclear
Senp7,Other
Psmg1,Other
Ripply3,Nuclear
Hlcs,Other
Chaf1b,Nuclear
Donson,Nuclear
Mis18a,Nuclear
Usp16,Nuclear
Hemk2,Nuclear
Rbm11,Nuclear
Cggbp1,Nuclear
Zfp654,Nuclear
Pabpc4-ps1,Other
Rfc3,Nuclear
N4bp2l2,Nuclear
Hsph1,Other
Uspl1,Nuclear
Pomp,Nuclear
Gsx1,Nuclear
Trrap,Nuclear
Pms2,Nuclear
Aimp2,Other
Usp42,Other
Zfp12,Nuclear
Rbak,Nuclear
Ints1,Nuclear
Akap17a,Nuclear
Mcm7,Nuclear
Taf6,Nuclear
Sap25,Nuclear
Actl6b,Nuclear
Pop7,Nuclear
Polr2j,Nuclear
Tmem120a,Nuclear
Nsun5,Nuclear
Fkbp6,Other
Eif4h,Nuclear
Gtf2ird2,Nuclear
Sbds,Other
Dhx37,Nuclear
Gtf2h3,Nuclear
Arl6ip4,Nuclear
Ogfod2,Nuclear
Zcchc8,Nuclear
Cux2,Nuclear
Arpc3,Nuclear
Anapc5,Nuclear
Rita1,Other
Tesc,Other
Srsf9,Nuclear
C12h12orf43,Nuclear
Rnf10,Other
Srrd,Nuclear
Tfip11,Nuclear
Chfr,Nuclear
Foxn4,Nuclear
Naca,Nuclear
Rbms2,Other
Stat2,Other
Pa2g4,Other
Neurod4,Other
Rfx1,Nuclear
Cc2d1a,Other
Nanos3,Other
Mri1,Nuclear
Get3,Nuclear
Wdr83,Nuclear
Mapkapk2,Nuclear
Cdk18,Nuclear
Pik3c2b,Other
Sox13,Nuclear
Lhx9,Nuclear
Aspm,Nuclear
Tsen15,Nuclear
Swt1,Nuclear
Ivns1abp,Other
Acbd6,Other
Cacybp,Other
Cenpl,Nuclear
Ntmt2,Nuclear
Kifap3,Nuclear
Dcaf6,Nuclear
Lmx1a,Nuclear
Nhlh1,Nuclear
Pex19,Other
Mixl1,Nuclear
Sde2,Other
Nvl,Nuclear
Gpatch2,Nuclear
Smyd2,Other
Ints7,Nuclear
Inava,Nuclear
Ddx59,Nuclear
Nuak2,Nuclear
Klhl8,Nuclear
Abraxas1,Nuclear
Naa11,Other
Ccni,Nuclear
Sdad1,Nuclear
Rchy1,Other
Ankrd17,Nuclear
Polr2b,Nuclear
Fip1l1,Nuclear
Usp46,Other
Nfxl1,Nuclear
Commd8,Other
Ube2k,Nuclear
Ldb2,Nuclear
Dhx15,Nuclear
Lyar,Nuclear
Evc2,Nuclear
Tada2b,Nuclear
Nop14,Nuclear
Smtn,Nuclear
Morc2,Other
Pes1,Nuclear
Ewsr1,Nuclear
Xbp1,Other
Polm,Nuclear
Pold2,Nuclear
Fignl1,Nuclear
Ddx56,Other
Zmiz2,Nuclear
Upp1,Other
Pno1,Nuclear
C1d,Nuclear
Actr2,Other
Commd1,Other
Cfap36,Nuclear
Dr1,Nuclear
Psmc6,Other
Fermt2,Other
Cdkn3,Other
Dlgap5,Other
Parp2,Nuclear
Osgep,Other
Hnrnpc,Other
Psmb11,Nuclear
Nrl,Nuclear
Rec8,Nuclear
Ipo4,Nuclear
Tinf2,Nuclear
Nop9,Nuclear
Ctsg,Other
Mphosph8,Nuclear
Xpo4,Other
Sap18,Other
Sox7,Nuclear
Ints9,Other
Nuggc,Nuclear
Pbk,Nuclear
Loxl2,Nuclear
Npm2,Nuclear
Nudt15,Other
Diaph3,Nuclear
Esco2-ps2,Nuclear
Sugt1,Other
Olfm4,Other
Snrpnl2,Nuclear
Mycbp2,Nuclear
Trim52,Other
Thoc3,Nuclear
Anxa11,Other
Appl1,Other
Mustn1,Nuclear
Gnl3,Nuclear
Mettl6,Nuclear
Zfp488,Nuclear
Wapl,Nuclear
Gapdhl10,Other
Haus8,Nuclear
Babam1,Nuclear
Mvb12a,Other
Pgls,Other
Fcho1,Other
Map1s,Other
Ccdc124,Other
Lsm4,Other
Ddx49,Nuclear
Sugp1,Nuclear
Mau2,Nuclear
Gatad2a,Nuclear
Tssk6,Nuclear
Rps10l2,Other
Ints10,Nuclear
Tma16,Nuclear
Nek1,Other
Hpf1,Nuclear
Neil3,Nuclear
Ing2,Nuclear
Irf2,Other
Ccdc110,Nuclear
Vps37a,Nuclear
Tnks,Other
Tex15,Nuclear
Wrn,Nuclear
Ash2l,Nuclear
Nsd3,Nuclear
Gins4,Nuclear
Vps36,Other
Usp4,Other
Cdc16,Nuclear
Lig4,Nuclear
Ikzf5l1,Nuclear
Coprs,Nuclear
Med10,Nuclear
Aopep,Nuclear
Cts7,Nuclear
Uimc1,Nuclear
Gadd45g,Nuclear
Fam120a,Other
Id4,Nuclear
Nedd9,Other
Gcm2,Nuclear
Eef1e1,Other
Snrnp48,Nuclear
Rpp40,Nuclear
Prpf4b,Nuclear
Irf4,Nuclear
E2f3,Nuclear
Gmnn,Nuclear
H1f1,Nuclear
H4c1,Nuclear
Hist1h2bo,Nuclear
H3c10,Nuclear
Zkscan4,Nuclear
Nkapl,Nuclear
Trim27,Other
Mkx,Nuclear
Mki67,Nuclear
Zmynd11,Nuclear
Fbh1,Nuclear
Rbm17,Nuclear
Sephs1,Nuclear
Rpp38,Nuclear
Mindy3,Nuclear
Trdmt1,Nuclear
Commd3,Nuclear
Gpr158,Nuclear
Cndp2,Other
Zfp516,Nuclear
Zfp236,Nuclear
Ctdp1,Nuclear
Setbp1,Nuclear
Mbd1,Nuclear
Cxxc1,Nuclear
Srfbp1,Nuclear
Poli,Nuclear
Rnmt,Nuclear
Psmg2,Other
Ppargc1b,Nuclear
Tcof1,Nuclear
Pabpc2,Other
Ik,Nuclear
Cxxc5,Nuclear
Spata24,Other
Srp19,Other
Cdc23,Nuclear
Brd8,Nuclear
Ercc3,Nuclear
Iws1,Nuclear
Rit2,Nuclear
Rprd1a,Nuclear
Ino80c,Nuclear
Dsg1,Nuclear
Kctd1,Nuclear
Taf4b,Nuclear
Rbbp8,Nuclear
Snrpd1,Other
Zfp136,Nuclear
Cmtm3,Other
Cnot1,Nuclear
Setd6,Nuclear
Zfp319,Nuclear
Nlrc5,Other
Nup93,Nuclear
Nudt21,Nuclear
Mcm5,Nuclear
Fto,Other
Aktip,Other
Tox3,Other
Cnep1r1,Other
N4bp1,Other
Lonp2,Nuclear
Orc6,Nuclear
Zfp827,Nuclear
Prmt9,Nuclear
Hsf4,Nuclear
Fhod1,Other
Kctd19,Nuclear
Nutf2,Other
Psmb10,Other
Utp4,Nuclear
Nob1,Nuclear
Wwp2,Nuclear
Dhx38,Nuclear
Txnl4b,Nuclear
Cmtr2,Nuclear
Sf3b3,Nuclear
Aars1,Other
Cfdp1,Nuclear
Cdyl2,Nuclear
Cmip,Other
Gins2,Nuclear
Irf8,Nuclear
Banp,Nuclear
Zc3h18,Nuclear
Cdt1,Nuclear
Trappc2l,Other
Tcf25,Other
Nup133,Nuclear
Urb2,Nuclear
Pgbd5,Nuclear
Fsaf1,Nuclear
Sprtn,Nuclear
Dclre1a,Nuclear
Znhit6,Nuclear
Eya4,Nuclear
Trip13,Nuclear
Fbxo5,Nuclear
Myct1,Nuclear
Pabpc6,Other
Tbxt,Nuclear
Phf10,Nuclear
Katna1,Nuclear
Tsen34,Nuclear
Prpf31,Nuclear
Zfp418,Nuclear
Aurkc,Nuclear
Zscan5b,Nuclear
Zfp444,Nuclear
Obox2,Nuclear
Rfpl4a,Nuclear
Fiz1,Nuclear
Ube2s,Nuclear
Zfp606,Nuclear
Bicra,Nuclear
Nop53,Other
Crxos1,Nuclear
Prkd2,Other
Ercc1,Nuclear
Nova2,Nuclear
Sympk,Nuclear
Snrpd2l,Nuclear
Ppm1n,Other
Tescl,Nuclear
Erfl,Nuclear
Erf,Nuclear
Ccdc97,Nuclear
Snrpa,Nuclear
C1h19orf47,Nuclear
Fbl,Nuclear
Med29,Nuclear
Eif3k,Other
Ggn,Nuclear
Psmd8,Nuclear
Tbcb,Other
Polr2i,Nuclear
Alkbh6,Nuclear
Syne4,Nuclear
Lin37,Nuclear
Tmem147,Other
Gpatch1,Nuclear
Pdcd5,Other
Zfp507,Nuclear
Zfp536,Nuclear
Pop4,Nuclear
Zfp473,Nuclear
Ptov1,Nuclear
Med25,Nuclear
Nosip,Nuclear
Pih1d1,Nuclear
Ruvbl2,Other
Sult2b1,Other
Tsg101,Other
Dbx1,Nuclear
Rpl36a,Other
Tjp1,Nuclear
Olig3,Nuclear
Akap13,Other
Zfp592,Nuclear
Zfp710,Nuclear
Mesp2,Nuclear
Isg20,Nuclear
Cpeb1,Other
Ramac,Nuclear
Saxo2,Nuclear
Hikeshi,Other
Eed,Nuclear
Ccdc89,Nuclear
Crebzf,Nuclear
Ankrd42,Nuclear
Lrrc32,Nuclear
Pold3,Nuclear
Anapc15,Nuclear
C1h11orf58,Nuclear
Sox6,Nuclear
Ctr9,Nuclear
Trim6,Other
Taf10,Nuclear
Gvinp1,Nuclear
Swap70,Nuclear
Palb2,Nuclear
Xpo6,Other
Cln3,Other
Sgf29,Nuclear
Slx1b,Nuclear
Ino80e,Nuclear
Kctd13,Nuclear
Pagr1,Nuclear
Kif22,Nuclear
Cd2bp2,Other
Prkacb,Other
Bcl7c,Nuclear
Bag3,Other
Ate1,Nuclear
Nsmce4a,Nuclear
Hmx3,Nuclear
Hmx2,Nuclear
Nkx1-2,Nuclear
Abraxas2,Other
Pkp3,Nuclear
Hras,Other
Irf7,Other
Pidd1,Other
Brsk2,Nuclear
Tcirg1,Nuclear
Rbm4,Nuclear
Brms1,Nuclear
Sf3b2,Nuclear
Eif1ad,Nuclear
Drap1,Nuclear
Mus81,Nuclear
Tm7sf2,Nuclear
Sac3d1,Nuclear
Trmt112,Nuclear
Esrra,Nuclear
Nudt22,Nuclear
Eef1g,Nuclear
Incenp,Nuclear
Myrf,Nuclear
Ccdc86,Nuclear
Dtx4,Nuclear
Lpxn,Other
Mphosph10,Nuclear
Magea10,Nuclear
Xlr4a,Nuclear
Zfp275,Nuclear
Srpk3,Nuclear
Flna,Other
Fam50a,Nuclear
Ubl4a,Other
Carnmt1,Other
Trpm6,Nuclear
Aff2,Nuclear
R3hcc1l,Nuclear
Smc5,Nuclear
Dmrt3,Nuclear
Pax2,Nuclear
Pdzd7,Nuclear
Pprc1,Nuclear
Cuedc2,Other
Taf5,Nuclear
Stn1,Nuclear
Sfr1,Nuclear
Dntt,Other
Ccnj,Nuclear
Pum3l1,Nuclear
Hells,Nuclear
Pank1,Other
Papss2,Other
Ilrun,Other
Ppp1r11,Nuclear
Dhx16,Nuclear
Gtf2h4,Nuclear
Prrc2a,Other
Msh5,Nuclear
Nelfe,Nuclear
Brd2,Nuclear
Rps18,Other
Kifc1,Nuclear
Phf1,Nuclear
Zbtb9,Nuclear
Nudt3,Nuclear
Tead3,Nuclear
C20h6orf89,Nuclear
Glo1,Other
Pknox1,Nuclear
Agpat3,Nuclear
Aire,Nuclear
Slx9,Nuclear
Pcbp3,Nuclear
Mcm3ap,Other
Zfp280b,Nuclear
Stox1,Other
Zup1,Other
Kpna5,Other
Rfx6,Nuclear
Asf1a,Nuclear
Ranbp2,Nuclear
Rpf2,Nuclear
Pald1,Other
Ascc1,Nuclear
Dnajb12,Nuclear
Sesn1,Nuclear
Ak9,Other
Sh3rf3,Nuclear
Oit3,Nuclear
Pou5f1,Other
Skic3,Other
Slf1,Nuclear
Arb2a,Other
Otp,Nuclear
Enc1,Nuclear
Ankra2,Other
Bdp1,Nuclear
Gtf2h2,Nuclear
Ppwd1,Nuclear
Cenpk,Nuclear
Rgs7bp,Nuclear
Dimt1,Nuclear
Gpbp1,Other
Mocs2,Other
Parp8,Nuclear
Wdr70,Nuclear
Nipbl,Nuclear
Ranbp3l,Nuclear
Skp2,Other
Brix1,Nuclear
Rad1,Nuclear
Rai14,Other
Zfp622,Other
Krt18,Other
Ralyl,Nuclear
Tnik,Other
Mecom,Nuclear
Exosc9,Other
Adad1,Nuclear
Hspa4l,Other
Pabpc4l,Other
Mgst2,Nuclear
Rexo1l1-ps1,Nuclear
Exosc8,Other
Ccna1,Nuclear
Wwtr1,Other
Smc4,Other
Mnd1,Nuclear
Sh3d19,Other
S100a5,Nuclear
S100a13,Other
Gpatch4,Nuclear
Glmp,Other
Zbtb7b,Nuclear
Pygo2,Nuclear
Ube2q1,Nuclear
Tdpoz1-ps5,Nuclear
Gabpb2,Nuclear
Mllt11,Other
Sf3b4,Nuclear
H4c14,Nuclear
Rbm8a,Nuclear
Etv3,Nuclear
Zfp697,Nuclear
Tbx15,Nuclear
Trim45,Other
Ttf2,Other
Nhlh2,Nuclear
Dennd2c,Nuclear
Bcas2,Nuclear
Bcl2l15,Other
Ptpn22,Nuclear
Rhoc,Other
Prmt6,Nuclear
Rtca,Nuclear
Mettl14,Nuclear
Papss1,Other
Ints12,Nuclear
Neurog2,Nuclear
Trmt10a,Other
Tnni3k,Nuclear
Depdc1,Nuclear
Msh4,Nuclear
Dnajb4,Other
Hltf,Nuclear
Orc4,Nuclear
Rif1,Nuclear
Prpf40a,Nuclear
Pkp4,Nuclear
Fign,Nuclear
Spc25,Other
Ube2e3,Nuclear
Nup35,Nuclear
Zfp804a,Nuclear
Ube2l6,Nuclear
Tnks1bp1,Nuclear
Rag2,Nuclear
Commd9,Nuclear
Ehf,Nuclear
Arhgap11a,Nuclear
Spred1,Other
Fsip1,Nuclear
Srp14,Nuclear
Pak6,Nuclear
Ino80,Other
Tp53bp1,Nuclear
Ell3,Nuclear
Dtwd1,Nuclear
Usp8,Other
Snrnp200,Nuclear
Bub1,Nuclear
Ubox5,Nuclear
Psmb3l2,Other
Mcm8,Nuclear
Tmx4,Nuclear
Banf2,Nuclear
Ovol2,Nuclear
Ralgapa2,Other
Nxt1,Other
Tcf15,Nuclear
Tspy26,Nuclear
Plagl2,Nuclear
Sun5,Nuclear
Cbfa2t2,Nuclear
Zfp341,Nuclear
Raly,Nuclear
Aar2,Nuclear
Ctnnbl1,Nuclear
Mybl2,Nuclear
Jph2,Nuclear
Oser1,Nuclear
Pabpc1l,Other
Ube2c,Other
Pltp,Nuclear
Ncoa5,Nuclear
Zmynd8,Nuclear
Ube2v1,Other
Rtfdc1,Nuclear
